date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:31:08	14673/14673	---MCZ	200	added ('OK')	text/html	etag:%22a7c4ac92b46a27847c1c5d678eaeb3d3-ssl-df%22	https://cvio-jekyll.netlify.app/tags/jekyll/	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/tags/jekyll/index.html	(from https://cvio-jekyll.netlify.app/blog/)
10:31:08	3115/3115	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22d449943c6d4592e047dc7e6606a8905d-ssl-df%22	https://cvio-jekyll.netlify.app/tags/app	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/tags/app.46.delayed	(from https://cvio-jekyll.netlify.app/blog/)
10:31:10	14361/14361	---MCZ	200	added ('OK')	text/html	etag:%22d449943c6d4592e047dc7e6606a8905d-ssl-df%22	https://cvio-jekyll.netlify.app/tags/app/	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/tags/app/index.html	(from https://cvio-jekyll.netlify.app/blog/)
10:31:10	3120/3120	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22b4b98a23a0f90ce03ce04eea56288d90-ssl-df%22	https://cvio-jekyll.netlify.app/tags/mobile	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/tags/mobile.47.delayed	(from https://cvio-jekyll.netlify.app/blog/)
10:31:11	14385/14385	---MCZ	200	added ('OK')	text/html	etag:%22b4b98a23a0f90ce03ce04eea56288d90-ssl-df%22	https://cvio-jekyll.netlify.app/tags/mobile/	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/tags/mobile/index.html	(from https://cvio-jekyll.netlify.app/blog/)
10:31:11	3114/3114	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22577f6495c6551c9f6a1b18c694cacc12-ssl-df%22	https://cvio-jekyll.netlify.app/tags/code	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/tags/code.48.delayed	(from https://cvio-jekyll.netlify.app/blog/)
10:31:13	14367/14367	---MCZ	200	added ('OK')	text/html	etag:%22577f6495c6551c9f6a1b18c694cacc12-ssl-df%22	https://cvio-jekyll.netlify.app/tags/code/	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/tags/code/index.html	(from https://cvio-jekyll.netlify.app/blog/)
10:31:13	3116/3116	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22b907cbb41747b72cdb55d4283c5dc6de-ssl-df%22	https://cvio-jekyll.netlify.app/tags/rock	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/tags/rock.49.delayed	(from https://cvio-jekyll.netlify.app/blog/)
10:31:14	14378/14378	---MCZ	200	added ('OK')	text/html	etag:%22b907cbb41747b72cdb55d4283c5dc6de-ssl-df%22	https://cvio-jekyll.netlify.app/tags/rock/	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/tags/rock/index.html	(from https://cvio-jekyll.netlify.app/blog/)
10:31:14	9340/9340	---MCZ	404	error ('Not%20Found')	text/html	etag:1633015828-ssl-df	https://cvio-jekyll.netlify.app/map	C:/My%20Web%20Sites/portfolio/cvio-jekyll.netlify.app/map.4a.delayed	(from https://cvio-jekyll.netlify.app/contacts-map/)
10:31:17	75825/75825	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2010%20Nov%202021%2009:31:16%20GMT	https://glitche-jekyll-theme.disqus.com/embed.js	C:/My%20Web%20Sites/portfolio/glitche-jekyll-theme.disqus.com/embed.js	(from https://cvio-jekyll.netlify.app/video/music/2020/08/08/welcome-to-jekyll/)
